Country,Obesity Rate,Male Obesity Rate,Female Obesity Rate,Median Income 2020,Mean Income 2020,GDP per Capita 2020
Botswana,17.5,7.9,26.5,1596,2907,20538
Equatorial Guinea,17.2,7.3,29,NA,NA,17567
Austria,17,20,14.3,18405,20718,71618
Netherlands,16.9,16.8,17.1,17154,19690,84218
Sweden,16.4,17.6,15.2,17625,20193,71030
Liberia,16.2,12.5,19.8,753,945,1885
Sudan,15.5,10.4,20.4,1277,1592,2127
Comoros,15.5,7.5,23.5,1401,2050,4055
Namibia,15.3,8.7,21.2,1962,4023,11687
Cape Verde,15.1,7.8,22.2,2354,3326,11262
Sao Tome and Principe,15,8.7,21.3,901,1620,6230
Thailand,14.5,11.2,17.5,4356,5670,24708
Denmark,14.3,16.7,12,17432,20304,79514
Switzerland,13.7,16.6,10.9,21490,25787,93819
Singapore,13.5,15.2,11.7,NA,NA,150689
Cameroon,13.4,7.7,18.9,1245,1841,5592
Gambia,13.2,8.5,17.8,1383,1784,3445
Somalia,12.7,4.9,20.3,NA,NA,1601
Zimbabwe,12.4,4.5,18.9,932,1429,3922
Ghana,12.1,4.7,19.3,1779,2422,8027
Bhutan,12,9,15.4,2446,3189,NA
Yemen,11.6,8.9,14.2,1150,1503,NA
Indonesia,11.5,6.6,16.4,NA,2510,16448
Tanzania,11.4,5.6,16.8,702,992,4221
Kenya,11,5,16.9,874,1197,6619
France,10.9,11.4,10.5,16372,19409,61322
Djibouti,10.9,5.7,15.8,1403,1869,7776
Nigeria,10.8,7.1,14.6,825,1021,6440
Sri Lanka,10.8,6.6,14.2,2277,3162,15633
Ivory Coast,10.6,7,14.3,987,1358,7653
Angola,10.5,5.4,15.4,665,1066,8348
Togo,10.4,5,15.9,683,964,3239
Haiti,10.2,6.2,14.1,1162,1540,3183
Guinea-Bissau,10.1,6.6,13.3,486,797,3053
Mali,10,8.6,11.4,689,861,3309
Benin,9.9,6.3,13.4,699,989,4435
Zambia,9.4,4.1,14.4,545,1045,4224
Mozambique,8.8,5.3,12,529,947,1700
Philippines,8.7,7.3,10.2,1581,2199,11794
Senegal,8.7,3.4,13.5,844,1137,5110
Guinea,8.3,4.8,11.5,843,1036,4579
China,8.2,8.5,7.9,NA,4246,27105
Republic of the Congo,8,3.7,12.1,892,1375,NA
Laos,7.8,5.7,9.8,1065,1389,9788
Central African Republic,7.7,4.9,10.3,491,891,1264
Myanmar,7.5,5.5,9.6,1909,2296,5997
India,7.2,5.2,9.3,NA,1314,11159
Uganda,6.9,3.6,10,804,1166,3276
South Korea,6.7,7.7,5.7,12507,14316,NA
Nepal,6.6,4.5,8.4,1155,1428,5737
Sierra Leone,6.5,2.3,10.6,765,1004,3516
Malawi,6.4,2.3,10,484,733,1859
Burkina Faso,6.1,3.5,8.6,748,1002,2896
DR Congo,5.8,3.5,7.9,395,548,1710
Chad,5.7,6.2,5.3,880,1182,2962
Bangladesh,5.3,2.9,7.6,1131,1414,9647
Niger,5.3,4,6.7,738,937,2015
Japan,4.9,6.3,3.7,14255,17095,51685
Rwanda,4.6,1.4,7.5,621,925,3711
Burundi,4.5,5.3,3.8,475,640,950
Cambodia,4.4,3.1,5.6,NA,NA,7970
Madagascar,3.8,4,3.7,398,567,1884
Ethiopia,2.4,0.9,3.9,907,1107,3278
Timor-Leste,2.2,1.6,2.9,970,1147,4758
Vietnam,2.1,2,2.2,3149,3881,16386
