Country,Obesity Rate,Male Obesity Rate,Female Obesity Rate,average_price,item_name
Cook Islands,68.4,64.8,71.5,11.54,"Bottle of Wine (Mid-Range), Markets"
Cook Islands,68.4,64.8,71.5,3.46,"Domestic Beer (0.5 Liter Bottle), Markets"
Cook Islands,68.4,64.8,71.5,4.76,"Imported Beer (0.33 Liter Bottle), Markets"
Cook Islands,68.4,64.8,71.5,14.42,"Cigarettes (Pack of 20, Marlboro), Markets"
Cook Islands,68.4,64.8,71.5,7.5,"Chicken Fillets (1 kg), Markets"
Cook Islands,68.4,64.8,71.5,2.87,"Apples (1 kg), Markets"
Cook Islands,68.4,64.8,71.5,3.45,"Oranges (1 kg), Markets"
Cook Islands,68.4,64.8,71.5,2.31,"Potatoes (1 kg), Markets"
Cook Islands,68.4,64.8,71.5,2.02,"Lettuce (1 Head), Markets"
Cook Islands,68.4,64.8,71.5,3.97,"Cappuccino (Regular Size), Restaurants"
Cook Islands,68.4,64.8,71.5,1.59,"White Rice (1 kg), Markets"
Cook Islands,68.4,64.8,71.5,6.06,"Tomatoes (1 kg), Markets"
Cook Islands,68.4,64.8,71.5,2.31,"Bananas (1 kg), Markets"
Cook Islands,68.4,64.8,71.5,1.82,"Onions (1 kg), Markets"
Cook Islands,68.4,64.8,71.5,8.65,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Niue,66.5,63.7,68.8,17.3,"Meal at an Inexpensive Restaurant, Restaurants"
Niue,66.5,63.7,68.8,35.76,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Niue,66.5,63.7,68.8,14.42,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Niue,66.5,63.7,68.8,4.61,"Domestic Draft Beer (0.5 Liter), Restaurants"
Niue,66.5,63.7,68.8,3.46,"Imported Beer (0.33 Liter Bottle), Restaurants"
Niue,66.5,63.7,68.8,2.88,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Niue,66.5,63.7,68.8,2.88,"Bottled Water (0.33 Liter), Restaurants"
Niue,66.5,63.7,68.8,2.31,"Fresh White Bread (500 g Loaf), Markets"
Niue,66.5,63.7,68.8,2.88,"Eggs (12, Large Size), Markets"
Niue,66.5,63.7,68.8,14.42,"Bottle of Wine (Mid-Range), Markets"
Niue,66.5,63.7,68.8,17.3,"Cigarettes (Pack of 20, Marlboro), Markets"
