Country,Median Income 2020,Mean Income 2020,GDP per Capita 2020
Liberia,$753,$945,"$1,885"
Burkina Faso,$748,"$1,002","$2,896"
Niger,$738,$937,"$2,015"
Turkmenistan,$706,$963,"$20,408"
Tanzania,$702,$992,"$4,221"
Benin,$699,$989,"$4,435"
Mali,$689,$861,"$3,309"
Togo,$683,$964,"$3,239"
Angola,$665,"$1,066","$8,348"
Rwanda,$621,$925,"$3,711"
Uzbekistan,$591,$752,"$11,879"
Zambia,$545,"$1,045","$4,224"
Mozambique,$529,$947,"$1,700"
Central African Republic,$491,$891,"$1,264"
Guinea-Bissau,$486,$797,"$3,053"
Malawi,$484,$733,"$1,859"
Burundi,$475,$640,$950
Madagascar,$398,$567,"$1,884"
DR Congo,$395,$548,"$1,710"
India,,"$1,314","$11,159"
China,,"$4,246","$27,105"
Indonesia,,"$2,510","$16,448"
Saudi Arabia,,,"$71,243"
Somalia,,,"$1,601"
Cambodia,,,"$7,970"
Libya,,,"$13,954"
Hong Kong,,,"$75,216"
Singapore,,,"$150,689"
Oman,,,"$41,664"
New Zealand,,,"$55,094"
Kuwait,,,"$51,636"
Puerto Rico,,,"$50,156"
Qatar,,,"$126,110"
Equatorial Guinea,,,"$17,567"
Bahrain,,,"$67,211"
Macau,,,"$128,268"
Brunei,,,"$90,007"
Bahamas,,,"$41,198"
Barbados,,,"$22,672"
Grenada,,,"$20,167"
Antigua and Barbuda,,,"$33,602"
Andorra,,,"$74,939"
Dominica,,,"$21,301"
Bermuda,,,"$119,719"
Saint Kitts and Nevis,,,"$35,545"
Turks and Caicos Islands,,,"$37,954"
Marshall Islands,,,"$8,198"
Nauru,,,"$14,327"
